embedding,cell_type,factor,mean_z_usage,n_cells
atlas SP,Neuron,F1,0.9899595379829407,53205
atlas SP,Neuron,F2,0.9138923287391663,53205
atlas SP,Neuron,F3,0.6638762950897217,53205
atlas SP,Neuron,F4,0.6352120041847229,53205
atlas SP,Neuron,F5,0.5513888597488403,53205
atlas SP,Neuron,F6,0.5018996596336365,53205
atlas SP,Neuron,F7,0.45094773173332214,53205
atlas SP,Neuron,F8,-0.14501051604747772,53205
atlas SP,Neuron,F9,-0.22698087990283966,53205
atlas SP,Neuron,F10,-0.2682805359363556,53205
atlas SP,Neuron,F11,-0.1692172884941101,53205
atlas SP,Neuron,F12,-0.7390532493591309,53205
atlas SP,Neuron,F13,-0.2855483889579773,53205
atlas SP,Neuron,F14,-0.5067235231399536,53205
atlas SP,Neuron,F15,-0.24056576192378998,53205
atlas SP,Neuron,F16,-0.7392831444740295,53205
atlas SP,Neuron,F17,0.10254467278718948,53205
atlas SP,Neuron,F18,-0.09831014275550842,53205
atlas SP,Neuron,F19,-0.16140161454677582,53205
atlas SP,Neuron,F20,0.2562486231327057,53205
atlas SP,Immune cell,F1,-0.6048486828804016,26315
atlas SP,Immune cell,F2,-0.5682477951049805,26315
atlas SP,Immune cell,F3,-0.41336652636528015,26315
atlas SP,Immune cell,F4,-0.40140536427497864,26315
atlas SP,Immune cell,F5,-0.33490490913391113,26315
atlas SP,Immune cell,F6,-0.30421704053878784,26315
atlas SP,Immune cell,F7,-0.26695898175239563,26315
atlas SP,Immune cell,F8,0.30976322293281555,26315
atlas SP,Immune cell,F9,-0.1583416908979416,26315
atlas SP,Immune cell,F10,0.36905622482299805,26315
atlas SP,Immune cell,F11,-0.1085958480834961,26315
atlas SP,Immune cell,F12,1.2906864881515503,26315
atlas SP,Immune cell,F13,-0.05809352546930313,26315
atlas SP,Immune cell,F14,-0.4227132499217987,26315
atlas SP,Immune cell,F15,-0.006944543216377497,26315
atlas SP,Immune cell,F16,0.002868923358619213,26315
atlas SP,Immune cell,F17,-0.007782682776451111,26315
atlas SP,Immune cell,F18,-0.022421754896640778,26315
atlas SP,Immune cell,F19,0.31426382064819336,26315
atlas SP,Immune cell,F20,-0.18733952939510345,26315
atlas SP,Glial cell,F1,-0.5402609705924988,15127
atlas SP,Glial cell,F2,-0.4364599585533142,15127
atlas SP,Glial cell,F3,-0.33717209100723267,15127
atlas SP,Glial cell,F4,-0.2591051757335663,15127
atlas SP,Glial cell,F5,-0.3143070638179779,15127
atlas SP,Glial cell,F6,-0.29300135374069214,15127
atlas SP,Glial cell,F7,-0.2503451406955719,15127
atlas SP,Glial cell,F8,-0.06605413556098938,15127
atlas SP,Glial cell,F9,-0.19783002138137817,15127
atlas SP,Glial cell,F10,-0.12432955205440521,15127
atlas SP,Glial cell,F11,-0.14616911113262177,15127
atlas SP,Glial cell,F12,-0.5172663927078247,15127
atlas SP,Glial cell,F13,-0.23008958995342255,15127
atlas SP,Glial cell,F14,0.17726126313209534,15127
atlas SP,Glial cell,F15,-0.17262452840805054,15127
atlas SP,Glial cell,F16,1.4401113986968994,15127
atlas SP,Glial cell,F17,-0.12798933684825897,15127
atlas SP,Glial cell,F18,-0.0701959952712059,15127
atlas SP,Glial cell,F19,-0.06238531321287155,15127
atlas SP,Glial cell,F20,-0.23962876200675964,15127
atlas SP,Epithelial cell,F1,-0.60626620054245,14590
atlas SP,Epithelial cell,F2,-0.5692210793495178,14590
atlas SP,Epithelial cell,F3,-0.4065615236759186,14590
atlas SP,Epithelial cell,F4,-0.4387190639972687,14590
atlas SP,Epithelial cell,F5,-0.3333730697631836,14590
atlas SP,Epithelial cell,F6,-0.30178529024124146,14590
atlas SP,Epithelial cell,F7,-0.2751825749874115,14590
atlas SP,Epithelial cell,F8,0.060162611305713654,14590
atlas SP,Epithelial cell,F9,1.6639924049377441,14590
atlas SP,Epithelial cell,F10,-0.13702085614204407,14590
atlas SP,Epithelial cell,F11,0.6563776135444641,14590
atlas SP,Epithelial cell,F12,1.1559091806411743,14590
atlas SP,Epithelial cell,F13,-0.037846941500902176,14590
atlas SP,Epithelial cell,F14,0.46280917525291443,14590
atlas SP,Epithelial cell,F15,0.40446993708610535,14590
atlas SP,Epithelial cell,F16,-0.46680203080177307,14590
atlas SP,Epithelial cell,F17,-0.11221262812614441,14590
atlas SP,Epithelial cell,F18,0.5308667421340942,14590
atlas SP,Epithelial cell,F19,0.011080287396907806,14590
atlas SP,Epithelial cell,F20,-0.09588942676782608,14590
atlas SP,Stem cell,F1,-0.6074625849723816,8661
atlas SP,Stem cell,F2,-0.5716763734817505,8661
atlas SP,Stem cell,F3,-0.4138598144054413,8661
