embedding,cell_type,factor,mean_z_usage,n_cells
atlas SP,Cortical excitatory neuron,F1,1.6930071115493774,30868
atlas SP,Cortical excitatory neuron,F2,1.2078651189804077,30868
atlas SP,Cortical excitatory neuron,F3,0.3164084553718567,30868
atlas SP,Cortical excitatory neuron,F4,-0.12033181637525558,30868
atlas SP,Cortical excitatory neuron,F5,-0.010496795177459717,30868
atlas SP,Cortical excitatory neuron,F6,-0.7466474771499634,30868
atlas SP,Cortical excitatory neuron,F7,-0.2276916652917862,30868
atlas SP,Cortical excitatory neuron,F8,0.7218535542488098,30868
atlas SP,Cortical excitatory neuron,F9,-0.27021557092666626,30868
atlas SP,Cortical excitatory neuron,F10,-0.5203267931938171,30868
atlas SP,Cortical excitatory neuron,F11,-0.16959410905838013,30868
atlas SP,Cortical excitatory neuron,F12,-0.24258814752101898,30868
atlas SP,Cortical excitatory neuron,F13,-0.7417210936546326,30868
atlas SP,Cortical excitatory neuron,F14,0.6506167650222778,30868
atlas SP,Cortical excitatory neuron,F15,-0.29144224524497986,30868
atlas SP,Cortical excitatory neuron,F16,-0.14702047407627106,30868
atlas SP,Cortical excitatory neuron,F17,-0.14146770536899567,30868
atlas SP,Cortical excitatory neuron,F18,0.016759421676397324,30868
atlas SP,Cortical excitatory neuron,F19,0.25170138478279114,30868
atlas SP,Cortical excitatory neuron,F20,-0.09745121002197266,30868
atlas SP,Inhibitory neuron,F1,-0.4272265136241913,17259
atlas SP,Inhibitory neuron,F2,-0.1250561624765396,17259
atlas SP,Inhibitory neuron,F3,2.269515037536621,17259
atlas SP,Inhibitory neuron,F4,1.81918203830719,17259
atlas SP,Inhibitory neuron,F5,1.7581169605255127,17259
atlas SP,Inhibitory neuron,F6,-0.7431026101112366,17259
atlas SP,Inhibitory neuron,F7,-0.22951896488666534,17259
atlas SP,Inhibitory neuron,F8,-0.11319635063409805,17259
atlas SP,Inhibitory neuron,F9,-0.2713935673236847,17259
atlas SP,Inhibitory neuron,F10,-0.5090919733047485,17259
atlas SP,Inhibitory neuron,F11,-0.1716751754283905,17259
atlas SP,Inhibitory neuron,F12,-0.24559392035007477,17259
atlas SP,Inhibitory neuron,F13,-0.7395977973937988,17259
atlas SP,Inhibitory neuron,F14,0.03765254095196724,17259
atlas SP,Inhibitory neuron,F15,-0.29347872734069824,17259
atlas SP,Inhibitory neuron,F16,-0.14755280315876007,17259
atlas SP,Inhibitory neuron,F17,-0.20347465574741364,17259
atlas SP,Inhibitory neuron,F18,0.3171469569206238,17259
atlas SP,Inhibitory neuron,F19,0.3597569465637207,17259
atlas SP,Inhibitory neuron,F20,-0.10489129275083542,17259
atlas SP,Microglia,F1,-0.5703407526016235,12042
atlas SP,Microglia,F2,-0.42229095101356506,12042
atlas SP,Microglia,F3,-0.6057814359664917,12042
atlas SP,Microglia,F4,-0.306832879781723,12042
atlas SP,Microglia,F5,-0.3401500880718231,12042
atlas SP,Microglia,F6,1.9350804090499878,12042
atlas SP,Microglia,F7,-0.19138392806053162,12042
atlas SP,Microglia,F8,-0.42686575651168823,12042
atlas SP,Microglia,F9,-0.08984430879354477,12042
atlas SP,Microglia,F10,-0.40972208976745605,12042
atlas SP,Microglia,F11,-0.14238661527633667,12042
atlas SP,Microglia,F12,-0.16149570047855377,12042
atlas SP,Microglia,F13,-0.46706223487854004,12042
atlas SP,Microglia,F14,-0.29162052273750305,12042
atlas SP,Microglia,F15,-0.21324382722377777,12042
atlas SP,Microglia,F16,-0.0477776899933815,12042
atlas SP,Microglia,F17,-0.034636445343494415,12042
atlas SP,Microglia,F18,-0.17848558723926544,12042
atlas SP,Microglia,F19,-0.3183150291442871,12042
atlas SP,Microglia,F20,-0.0649024024605751,12042
atlas SP,B cell,F1,-0.5691308975219727,8620
atlas SP,B cell,F2,-0.4192298352718353,8620
atlas SP,B cell,F3,-0.6060283184051514,8620
atlas SP,B cell,F4,-0.3053412437438965,8620
atlas SP,B cell,F5,-0.33687055110931396,8620
atlas SP,B cell,F6,-0.1662241369485855,8620
atlas SP,B cell,F7,-0.16322194039821625,8620
atlas SP,B cell,F8,-0.42153069376945496,8620
atlas SP,B cell,F9,0.2455333024263382,8620
atlas SP,B cell,F10,-0.4499415457248688,8620
atlas SP,B cell,F11,-0.11869138479232788,8620
atlas SP,B cell,F12,-0.0680336058139801,8620
atlas SP,B cell,F13,1.4820970296859741,8620
atlas SP,B cell,F14,-0.2658320963382721,8620
atlas SP,B cell,F15,-0.10576094686985016,8620
atlas SP,B cell,F16,0.23928967118263245,8620
atlas SP,B cell,F17,0.22316788136959076,8620
atlas SP,B cell,F18,-0.03649846091866493,8620
atlas SP,B cell,F19,-0.20366838574409485,8620
atlas SP,B cell,F20,-0.020901795476675034,8620
atlas SP,Skin epithelial cell,F1,-0.5732434391975403,7347
atlas SP,Skin epithelial cell,F2,-0.42609527707099915,7347
atlas SP,Skin epithelial cell,F3,-0.6132727265357971,7347
atlas SP,Skin epithelial cell,F4,-0.3117617666721344,7347
atlas SP,Skin epithelial cell,F5,-0.3436030447483063,7347
atlas SP,Skin epithelial cell,F6,-0.5227415561676025,7347
atlas SP,Skin epithelial cell,F7,2.7824134826660156,7347
atlas SP,Skin epithelial cell,F8,-0.459863543510437,7347
atlas SP,Skin epithelial cell,F9,-0.19835735857486725,7347
atlas SP,Skin epithelial cell,F10,0.49673134088516235,7347
atlas SP,Skin epithelial cell,F11,-0.14183184504508972,7347
atlas SP,Skin epithelial cell,F12,-0.06661960482597351,7347
atlas SP,Skin epithelial cell,F13,1.2185094356536865,7347
atlas SP,Skin epithelial cell,F14,-0.30076998472213745,7347
atlas SP,Skin epithelial cell,F15,-0.18255771696567535,7347
atlas SP,Skin epithelial cell,F16,-0.09088270366191864,7347
atlas SP,Skin epithelial cell,F17,-0.11878073960542679,7347
atlas SP,Skin epithelial cell,F18,-0.2571580410003662,7347
atlas SP,Skin epithelial cell,F19,-0.255248099565506,7347
atlas SP,Skin epithelial cell,F20,0.917071521282196,7347
atlas SP,Endothelial cell,F1,-0.5683114528656006,7044
atlas SP,Endothelial cell,F2,-0.41776973009109497,7044
atlas SP,Endothelial cell,F3,-0.6022638082504272,7044
atlas SP,Endothelial cell,F4,-0.2990877628326416,7044
