embedding,cell_type,factor,mean_z_usage,n_cells
NMF PSI homo,Cortical excitatory neuron,N1,1.3666247129440308,30868
NMF PSI homo,Cortical excitatory neuron,N2,1.3510305881500244,30868
NMF PSI homo,Cortical excitatory neuron,N3,1.3443214893341064,30868
NMF PSI homo,Cortical excitatory neuron,N4,1.3437856435775757,30868
NMF PSI homo,Cortical excitatory neuron,N5,1.3284748792648315,30868
NMF PSI homo,Cortical excitatory neuron,N6,1.305953860282898,30868
NMF PSI homo,Cortical excitatory neuron,N7,1.2940043210983276,30868
NMF PSI homo,Cortical excitatory neuron,N8,1.2834025621414185,30868
NMF PSI homo,Cortical excitatory neuron,N9,1.1880820989608765,30868
NMF PSI homo,Cortical excitatory neuron,N10,1.1364740133285522,30868
NMF PSI homo,Cortical excitatory neuron,N11,0.8903692960739136,30868
NMF PSI homo,Cortical excitatory neuron,N12,1.0628496408462524,30868
NMF PSI homo,Cortical excitatory neuron,N13,1.0015618801116943,30868
NMF PSI homo,Cortical excitatory neuron,N14,1.2367113828659058,30868
NMF PSI homo,Cortical excitatory neuron,N15,1.2220731973648071,30868
NMF PSI homo,Cortical excitatory neuron,N16,1.144639253616333,30868
NMF PSI homo,Cortical excitatory neuron,N17,-1.1440625190734863,30868
NMF PSI homo,Cortical excitatory neuron,N18,-1.1738369464874268,30868
NMF PSI homo,Cortical excitatory neuron,N19,-0.14580269157886505,30868
NMF PSI homo,Cortical excitatory neuron,N20,-0.5812910795211792,30868
NMF PSI homo,Inhibitory neuron,N1,1.0166196823120117,17259
NMF PSI homo,Inhibitory neuron,N2,1.0172311067581177,17259
NMF PSI homo,Inhibitory neuron,N3,0.9277725219726562,17259
NMF PSI homo,Inhibitory neuron,N4,1.0491548776626587,17259
NMF PSI homo,Inhibitory neuron,N5,1.141870141029358,17259
NMF PSI homo,Inhibitory neuron,N6,0.8145384788513184,17259
NMF PSI homo,Inhibitory neuron,N7,0.8904716372489929,17259
NMF PSI homo,Inhibitory neuron,N8,1.2170153856277466,17259
NMF PSI homo,Inhibitory neuron,N9,1.1016281843185425,17259
