embedding,cell_type,factor,mean_z_usage,n_cells
atlas SP,Microglia,F1,1.9350804090499878,12042
atlas SP,Microglia,F2,-0.5703407526016235,12042
atlas SP,Microglia,F3,-0.42229095101356506,12042
atlas SP,Microglia,F4,-0.6057814359664917,12042
atlas SP,Microglia,F5,-0.3401500880718231,12042
atlas SP,Microglia,F6,-0.42686575651168823,12042
atlas SP,Microglia,F7,-0.14238661527633667,12042
atlas SP,Microglia,F8,-0.40972208976745605,12042
atlas SP,Microglia,F9,-0.19138392806053162,12042
atlas SP,Microglia,F10,-0.0649024024605751,12042
atlas SP,Microglia,F11,-0.16149570047855377,12042
atlas SP,Microglia,F12,-0.46706223487854004,12042
atlas SP,Microglia,F13,-0.21324382722377777,12042
atlas SP,Microglia,F14,-0.034636445343494415,12042
atlas SP,Microglia,F15,-0.17848558723926544,12042
atlas SP,Microglia,F16,-0.29162052273750305,12042
atlas SP,Microglia,F17,-0.306832879781723,12042
atlas SP,Microglia,F18,-0.0477776899933815,12042
atlas SP,Microglia,F19,-0.08984430879354477,12042
atlas SP,Microglia,F20,-0.3183150291442871,12042
atlas SP,Layer 6 excitatory neuron,F1,-0.7468888759613037,10204
atlas SP,Layer 6 excitatory neuron,F2,1.4712011814117432,10204
atlas SP,Layer 6 excitatory neuron,F3,1.845886468887329,10204
atlas SP,Layer 6 excitatory neuron,F4,0.4878612458705902,10204
atlas SP,Layer 6 excitatory neuron,F5,-0.17072829604148865,10204
atlas SP,Layer 6 excitatory neuron,F6,0.9192847609519958,10204
atlas SP,Layer 6 excitatory neuron,F7,-0.1701049953699112,10204
atlas SP,Layer 6 excitatory neuron,F8,-0.5201667547225952,10204
atlas SP,Layer 6 excitatory neuron,F9,-0.22617994248867035,10204
atlas SP,Layer 6 excitatory neuron,F10,-0.09608594328165054,10204
atlas SP,Layer 6 excitatory neuron,F11,-0.24252045154571533,10204
atlas SP,Layer 6 excitatory neuron,F12,-0.7418455481529236,10204
atlas SP,Layer 6 excitatory neuron,F13,-0.2956778407096863,10204
atlas SP,Layer 6 excitatory neuron,F14,-0.1497994065284729,10204
atlas SP,Layer 6 excitatory neuron,F15,0.01700069010257721,10204
atlas SP,Layer 6 excitatory neuron,F16,0.23350943624973297,10204
atlas SP,Layer 6 excitatory neuron,F17,-0.15244309604167938,10204
atlas SP,Layer 6 excitatory neuron,F18,-0.14741264283657074,10204
atlas SP,Layer 6 excitatory neuron,F19,-0.2719805836677551,10204
atlas SP,Layer 6 excitatory neuron,F20,0.06612450629472733,10204
atlas SP,Layer 4 excitatory neuron,F1,-0.7466294765472412,8216
atlas SP,Layer 4 excitatory neuron,F2,2.1430420875549316,8216
atlas SP,Layer 4 excitatory neuron,F3,0.7246676087379456,8216
atlas SP,Layer 4 excitatory neuron,F4,0.023564865812659264,8216
atlas SP,Layer 4 excitatory neuron,F5,-0.04490461200475693,8216
atlas SP,Layer 4 excitatory neuron,F6,0.055382102727890015,8216
atlas SP,Layer 4 excitatory neuron,F7,-0.16941523551940918,8216
atlas SP,Layer 4 excitatory neuron,F8,-0.5210322141647339,8216
atlas SP,Layer 4 excitatory neuron,F9,-0.2297140657901764,8216
atlas SP,Layer 4 excitatory neuron,F10,-0.10004347562789917,8216
atlas SP,Layer 4 excitatory neuron,F11,-0.24407799541950226,8216
atlas SP,Layer 4 excitatory neuron,F12,-0.741581380367279,8216
atlas SP,Layer 4 excitatory neuron,F13,-0.2908950746059418,8216
atlas SP,Layer 4 excitatory neuron,F14,-0.133061483502388,8216
atlas SP,Layer 4 excitatory neuron,F15,-0.05270702764391899,8216
