junction_index,junction_id,event_id,gene_name,num_junctions,n_cells_detected,CountJuncs,total_cluster_count,total_junction_count,psi_global,celltype_psi_variance,n_celltypes_with_total,coverage_rank,variability_rank,selection_score
56586,chr4_137321192_137328712_-,ENSMUSG00000006699.17_atse_5,CDC42,2,117964,10717916,12597996.0,7334663.0,0.5822087100202286,0.1724993526695805,59,0.9993640740788807,0.9948866364710005,1.9942507105498812
58408,chr4_41769976_41771137_-,ENSMUSG00000073888.13_atse_4,CCL27A,3,59777,3692313,5499568.0,2879384.0,0.52356548732555,0.23876710663279455,56,0.9837319766913682,0.999584701439269,1.9833166781306373
941,chr10_128491033_128492058_-,ENSMUSG00000090841.2_atse_8,MYL6,3,124320,28256446,29878713.0,18846032.0,0.6307511304118085,0.10540457529593049,59,0.9994938548791091,0.9832323206104889,1.982726175489598
58607,chr4_44025560_44032400_+,ENSMUSG00000028478.18_atse_5,CLTA,6,57385,5617753,8753690.0,3891414.0,0.44454555735923934,0.23759367838850587,58,0.9818955783681362,0.9995198110391549,1.981415389407291
53675,chr3_90088476_90089796_+,ENSMUSG00000027940.18_atse_8,TPM3,2,72914,3793979,3681862.0,2658174.0,0.7219645929152152,0.13220423808352438,57,0.9917718972655185,0.9891373470208817,1.9809092442864003
56589,chr4_137322619_137328712_-,ENSMUSG00000006699.17_atse_5,CDC42,2,59677,6807848,12597996.0,5263333.0,0.4177912899797714,0.17249935266958052,59,0.9835697506910828,0.9948996145510233,1.978469365242106
7959,chr11_5088146_5091858_-,ENSMUSG00000009079.16_atse_3,EWSR1,4,72010,2579559,2507185.0,1868247.0,0.7451572181550224,0.12261575455881397,58,0.9912787302246505,0.9870219199771586,1.9783006502018092
53673,chr3_90087744_90088400_+,ENSMUSG00000027940.18_atse_7,TPM3,2,78998,6285565,5600820.0,4462539.0,0.7967652950817916,0.10834355240301832,58,0.9940819955095843,0.9840174944518708,1.9780994899614552
2189,chr10_60296002_60299097_+,ENSMUSG00000004207.14_atse_5,PSAP,3,88036,16980886,14887665.0,11899390.0,0.7992784630766476,0.09973195537918526,59,0.9962882691134674,0.9817398414078621,1.9780281105213295
19054,chr14_24493493_24495774_+,ENSMUSG00000025290.17_atse_2,RPS24,5,56736,8627428,15119782.0,6416103.0,0.4243515548041632,0.1832064751625519,59,0.9814153894072911,0.996067641753079,1.9774830311603702
